LocationType,Location,TimeFrame,DataFormat,Data
County,Dickson,2014,Currency,33883.00
County,Dickson,2015,Currency,35952.00
County,Dickson,2016,Currency,36490.00
County,Dickson,2017,Currency,39055.00
County,Dickson,2018,Currency,40556.00
County,Dickson,2021,Currency,50218.00
County,Dickson,2019,Currency,43611.00
County,Dickson,2020,Currency,45932.00
County,Dyer,1997,Currency,20823.00
County,Dyer,1998,Currency,21152.00
County,Dyer,1999,Currency,21565.00
County,Dyer,2000,Currency,22474.00
County,Dyer,2001,Currency,22931.00
County,Dyer,2002,Currency,24124.00
County,Dyer,2003,Currency,25403.00
County,Dyer,2004,Currency,26206.00
County,Dyer,2005,Currency,27118.00
County,Dyer,2006,Currency,27778.00
County,Dyer,2007,Currency,28910.00
County,Dyer,2008,Currency,31481.00
County,Dyer,2009,Currency,31070.00
County,Dyer,2010,Currency,31136.00
County,Dyer,2011,Currency,33845.31
County,Dyer,2012,Currency,35273.41
County,Dyer,2013,Currency,37032.00
County,Dyer,2014,Currency,36918.00
County,Dyer,2015,Currency,38153.00
County,Dyer,2016,Currency,38195.00
County,Dyer,2017,Currency,39328.00
County,Dyer,2018,Currency,40642.00
County,Dyer,2021,Currency,51559.00
County,Dyer,2019,Currency,42418.00
County,Dyer,2020,Currency,46124.00
County,Fayette,1997,Currency,21639.00
County,Fayette,1998,Currency,22247.00
County,Fayette,1999,Currency,22746.00
County,Fayette,2000,Currency,23939.00
County,Fayette,2001,Currency,24494.00
County,Fayette,2002,Currency,26073.00
County,Fayette,2003,Currency,28326.00
County,Fayette,2004,Currency,27949.00
County,Fayette,2005,Currency,29856.00
County,Fayette,2006,Currency,31193.00
County,Fayette,2007,Currency,33247.00
County,Fayette,2008,Currency,36287.00
County,Fayette,2009,Currency,35223.00
County,Fayette,2010,Currency,41652.00
County,Fayette,2011,Currency,45018.15
County,Fayette,2012,Currency,48275.77
County,Fayette,2013,Currency,50988.00
County,Fayette,2014,Currency,50890.00
County,Fayette,2015,Currency,47649.00
County,Fayette,2016,Currency,50209.00
County,Fayette,2017,Currency,53942.00
County,Fayette,2018,Currency,55364.00
County,Fayette,2021,Currency,68153.00
County,Fayette,2019,Currency,58804.00
County,Fayette,2020,Currency,62949.00
County,Fentress,1997,Currency,16696.00
County,Fentress,1998,Currency,17198.00
County,Fentress,1999,Currency,17960.00
County,Fentress,2000,Currency,18990.00
County,Fentress,2001,Currency,19769.00
County,Fentress,2002,Currency,20388.00
County,Fentress,2003,Currency,19972.00
County,Fentress,2004,Currency,21845.00
County,Fentress,2005,Currency,22724.00
County,Fentress,2006,Currency,23555.00
County,Fentress,2007,Currency,24694.00
County,Fentress,2008,Currency,26154.00
County,Fentress,2009,Currency,26110.00
County,Fentress,2010,Currency,27347.00
County,Fentress,2011,Currency,27663.98
County,Fentress,2012,Currency,29324.78
County,Fentress,2013,Currency,31427.00
County,Fentress,2014,Currency,30894.00
County,Fentress,2015,Currency,29490.00
County,Fentress,2016,Currency,29676.00
County,Fentress,2017,Currency,31462.00
County,Fentress,2018,Currency,32232.00
County,Fentress,2021,Currency,40402.00
County,Fentress,2019,Currency,35093.00
County,Fentress,2020,Currency,37450.00
County,Franklin,1997,Currency,19020.00
County,Franklin,1998,Currency,19900.00
County,Franklin,1999,Currency,20336.00
County,Franklin,2000,Currency,21498.00
County,Franklin,2001,Currency,21730.00
County,Franklin,2002,Currency,22048.00
County,Franklin,2003,Currency,22349.00
County,Franklin,2004,Currency,23236.00
County,Franklin,2005,Currency,24312.00
County,Franklin,2006,Currency,25104.00
County,Franklin,2007,Currency,26449.00
County,Franklin,2008,Currency,27598.00
County,Franklin,2009,Currency,27722.00
County,Franklin,2010,Currency,28169.00
County,Franklin,2011,Currency,30760.77
County,Franklin,2012,Currency,32541.78
County,Franklin,2013,Currency,33513.00
County,Franklin,2014,Currency,34579.00
County,Franklin,2015,Currency,35757.00
County,Franklin,2016,Currency,36366.00
County,Franklin,2017,Currency,37556.00
County,Franklin,2018,Currency,38880.00
County,Franklin,2021,Currency,45975.00
County,Franklin,2019,Currency,40494.00
County,Franklin,2020,Currency,43348.00
County,Gibson,1997,Currency,20322.00
County,Gibson,1998,Currency,21039.00
County,Gibson,1999,Currency,21560.00
County,Gibson,2000,Currency,22710.00
County,Gibson,2001,Currency,22401.00
County,Gibson,2002,Currency,23063.00
County,Gibson,2003,Currency,24855.00
County,Gibson,2004,Currency,24729.00
County,Gibson,2005,Currency,25680.00
County,Gibson,2006,Currency,25833.00
County,Gibson,2007,Currency,26428.00
County,Gibson,2008,Currency,28780.00
County,Gibson,2009,Currency,28590.00
County,Gibson,2010,Currency,28946.00
County,Gibson,2011,Currency,31265.91
County,Gibson,2012,Currency,32438.95
County,Gibson,2013,Currency,33294.00
County,Gibson,2014,Currency,34595.00
County,Gibson,2015,Currency,36002.00
County,Gibson,2016,Currency,36898.00
County,Gibson,2017,Currency,37464.00
County,Gibson,2018,Currency,38654.00
County,Gibson,2021,Currency,46449.00
County,Gibson,2019,Currency,39164.00
County,Gibson,2020,Currency,42264.00
County,Giles,1997,Currency,20138.00
County,Giles,1998,Currency,21610.00
County,Giles,1999,Currency,22880.00
County,Giles,2000,Currency,23894.00
County,Giles,2001,Currency,23538.00
County,Giles,2002,Currency,23705.00
County,Giles,2003,Currency,24008.00
County,Giles,2004,Currency,23940.00
County,Giles,2005,Currency,25218.00
County,Giles,2006,Currency,25381.00
County,Giles,2007,Currency,26433.00
County,Giles,2008,Currency,28195.00
County,Giles,2009,Currency,28458.00
County,Giles,2010,Currency,28574.00
County,Giles,2011,Currency,30601.14
County,Giles,2012,Currency,32391.25
County,Giles,2013,Currency,34364.00
County,Giles,2014,Currency,35047.00
County,Giles,2015,Currency,36189.00
County,Giles,2016,Currency,37303.00
County,Giles,2017,Currency,38181.00
County,Giles,2018,Currency,38766.00
County,Giles,2021,Currency,43321.00
County,Giles,2019,Currency,38464.00
County,Giles,2020,Currency,40755.00
County,Grainger,1997,Currency,15668.00
County,Grainger,1998,Currency,16578.00
County,Grainger,1999,Currency,16741.00
County,Grainger,2000,Currency,17494.00
